Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/07/2025,10/07/2025,Payment Thank You-Mobile,,Payment,240.71,
09/24/2025,09/25/2025,COSTCO WHSE #1005,Shopping,Sale,-18.36,
09/24/2025,09/25/2025,COSTCO WHSE #1005,Shopping,Sale,-14.55,
09/17/2025,09/18/2025,NC QUICK PASS,Travel,Sale,-17.40,
09/12/2025,09/14/2025,COSTCO WHSE #1005,Shopping,Sale,-36.16,
09/09/2025,09/10/2025,TARGET        00019372,Shopping,Sale,-96.43,
09/08/2025,09/08/2025,Payment Thank You - Web,,Payment,240.16,
09/06/2025,09/08/2025,JACK IN THE BOX 6404,Food & Drink,Sale,-10.36,
09/06/2025,09/07/2025,CHIPOTLE 1245,Food & Drink,Sale,-34.51,
09/05/2025,09/07/2025,JACK IN THE BOX 6404,Food & Drink,Sale,-12.94,
09/01/2025,09/01/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
08/26/2025,08/27/2025,COSTCO WHSE #1005,Shopping,Sale,-136.75,
08/18/2025,08/18/2025,Payment Thank You - Web,,Payment,474.98,
08/09/2025,08/10/2025,COSTCO WHSE #1005,Shopping,Sale,-8.41,
07/30/2025,07/31/2025,COSTCO WHSE #1005,Shopping,Sale,-74.19,
07/30/2025,07/31/2025,COSTCO WHSE #1005,Shopping,Sale,-9.15,
07/25/2025,07/27/2025,COSTCO WHSE #1005,Shopping,Sale,-84.68,
